id_artiste,nom_artiste,popularite,date_effet
1URnnhqYAYcrqrcwql10ft,21 Savage,86,2022-09-07 15:31:21.754425
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,88,2022-09-07 15:31:22.371893
0EmeFodog0BfCgMzAIvKQp,Shakira,85,2022-09-07 15:31:22.993443
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,89,2022-09-07 15:31:23.602531
4q3ewBCX7sLwd24euuV69X,Bad Bunny,100,2022-09-07 15:31:24.248353
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,89,2022-09-07 15:31:24.895551
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,82,2022-09-07 15:31:25.463349
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,90,2022-09-07 15:31:26.142270
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,89,2022-09-07 15:31:26.778025
1Ts9of7VPZElwPQnqnDSfW,Lyanno,75,2022-09-07 15:31:27.289856
1GKIlPFdcewHtpDVCQ8zmJ,Brray,74,2022-09-07 15:31:27.935874
2IMZYfNi21MGqxopj9fWx8,Rels B,81,2022-09-07 15:31:28.528122
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,85,2022-09-07 15:31:29.114444
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,93,2022-09-07 15:31:29.777133
71szvmFWd7TUa7b6XmXj9k,Emmy Meli,58,2022-09-07 15:31:30.308580
64H8UqGLbJFHwKtGxiV8OP,THE ANXIETY,64,2022-09-07 15:31:30.924305
3rWZHrfrsPBxVy692yAIxF,WILLOW,76,2022-09-07 15:31:31.487521
1xoxekeb8jUVHKJB7m6bfg,Tyler Cole,64,2022-09-07 15:31:32.104549
3wcj11K77LjEY1PkEazffa,Burna Boy,81,2022-09-07 15:31:32.724507
1CoZyIx7UvdxT5c8UkMzHd,Jorja Smith,71,2022-09-07 15:31:33.236609
4dpARuHxo51G3z768sgnrY,Adele,84,2022-09-07 15:31:33.976587
6Q192DXotxtaysaqNPy5yR,Amy Winehouse,74,2022-09-07 15:31:34.570026
6Q192DXotxtaysaqNPy5yR,Amy Winehouse,74,2022-09-07 15:31:35.109777
6Q192DXotxtaysaqNPy5yR,Amy Winehouse,74,2022-09-07 15:31:35.708438
6Q192DXotxtaysaqNPy5yR,Amy Winehouse,74,2022-09-07 15:31:36.280449
32r72WOqqRO1DtSznId7Lr,James Brown & The Famous Flames,56,2022-09-07 15:31:36.881167
6CwfuxIqcltXDGjfZsMd9A,MARINA,73,2022-09-07 15:31:37.420389
46pWGuE3dSwY3bMMXGBvVS,Rema,75,2022-09-07 15:31:38.048425
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,81,2022-09-07 15:31:38.731279
2TF8gIfNvlOCCEgAoOUz2L,Million Stylez,46,2022-09-07 15:31:39.246982
